bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
de bfm story ce soir la zone euro va t elle encore vivre un été meurtrier l' allemagne première économie européenne pourrait perdre son triple a la situation se détériore en espagne	bfm story ce soir la zone euro va t elle encore vive été meurtrier allemagne première économie européenne pourrait perdre son triple a la situation se détériore en espagne	_
pourquoi ces nouvelles tensions nous serons avec un spécialiste de l' espagne et nous serons avec le député socialiste rapporteur du budget en direct de l' assemblée nationale christian eckert	ces nouvelles tensions sont avec un spécialiste de l' espagne et nous serons avec le député socialiste rapporteur du budget de l' assemblée nationale christian eckert	_
à la une également la syrie et les armes chimiques la russie demande au régime de bachar al assad de ne pas utiliser ces armes	la une également la syrie et les armes chimiques la russie demande au régime de bachar el assad ne pas utiliser ses armes	_
de quel arsenal dispose l' armée syrienne	quelle arsenal dispose l' armée syrienne	_
quels dégats pourraient provoquer ces armes chimiques	dégâts pourraient provoquer ses armes chimiques	_
un spécialiste jean pierre daguzan nous répondra sur le plateau de bfm story et puis	spécialistes ont bien accusant nous répondra sur le plateau de bfm story puis	_
après la droite populaire la droite humaniste voici la droite forte deux jeunes pousses de l' ump guillaume peltier et geoffroy didier lancent ce nouveau mouvement pourquoi faire ils sont mes invités ce soir	la droite populaire la droite humaniste voici la droite forte deux jeunes pousses de l' ump guillaume peltier geoffroy didier migaud pour quoi faire ils sont mes invités ce soir	_
et puis c(ette) cette fois ci c' est vraiment la fin la fin de france soir liquidé par le tribunal de commerce nous en parlerons avec son tout dernier rédacteur en chef dominique de montvalon	cette fois ci c' est vraiment la fin à la fin de france soir liquidé par le tribunal de commerce nous en parlerons avec tout dernier rédacteur en chef dominique de montvalon	_
damien gourlet bonsoir avec vous ce qu' il faut retenir ce soir dans l' actualité l' actualité ce sont encore les incendies en espagne	damien gourlet bonsoir olivier avec vous ce qu' il faut retenir ce soir dans l' actualité actualité se sont encore les incendies en espagne	_
et les autorités pensaient avoir fait le plus dur pas du tout perrine baglan vous êtes l' envoyée spéciale de bfm tv chez les pompiers depuis quelques heures la vigilance et l' inquiétude ont de nouveau remplacé l' espoir	les autorités pensent avoir fait le plus dur pas du tout perrine baglan vous êtes l' envoyé spécial de bfm tv chez les pompiers depuis quelques heures la vigilance et l' inquiétude ont de nouveau remplacer l' espoir	_
oui effectivement la situation est très évolutive et c' est le vent ici qui dicte sa loi cet après midi les rafales atteignent jusqu' à trente parfois trente cinq kilomètres heure	oui effectivement la situation est très évolutive et c' est le vent ici qui dicte sa loi cet après midi les rafales atteignent jusqu' à trente parfois trente cinq kilomètres heure	_
autrement dit un feu maîtrisé comme ce matin par exemple	autrement dit un feu maîtrisé comme ce matin par exemple	_
ne veut pas pour autant dire un feu complètement éteint et même si les quatre cent quinze sapeurs pompiers français mobilisés étaient un petit peu fatigués aujourd' hui ils travaillent d' arrache pied néanmoins	ne veut pas pour autant dire un feu complètement éteint même si les quatre cents quinze sapeurs pompiers français mobilisés était un petit peu fatigué aujourd' hui il travaille d' arrache pied néanmoins	_
pour quadriller le secteur et vous pouvez peut être entendre	pour quadriller le secteur et vous pouvez peut être entendre	_
et voir au dessus de moi les bombardiers d' eau qui continuent de survoler la zone la mission première de ces sapeurs pompiers est de surveiller tous les foyers inactifs	est à voir au dessus de moi les bombardiers d' eau qui continue de survoler la zone la mission première de ces sapeurs pompiers et de surveiller tous les foyers inactif	_
de sorte que aucun d' eux ne s' embrase à nouveau nous étions tout à l' heure a(vec) avec les sapeurs pompiers en mission de reconnaissance et je peux vous dire que l' odeur de brûlé est encore particulièrement intense	de sorte que aucun d' eux ne s' embrase à nouveau nous étions tout à l' heure avec les sapeurs pompiers en mission de reconnaissance et je peux vous dire que l' odeur de brûlé est encore particulièrement intense	_
quinze mille hectares dévastés côté espagnol quatre morts la seule bonne nouvelle c' est que il n' y a pas de gros dégâts matériels	peine quinze mille hectares dévastés coté espagnol quatre morts la seule bonne nouvelle c' est que il n' y a pas de gros dégâts matériels	_
oui effectivement (n) les dégâts sont plutôt relativement limités compte tenu de l' intensité de l' incendie nous sommes ici sur les hauteurs de perthus	oui effectivement un les dégâts sont plutôt relativement limité compte tenu de l' intensité de l' incendie nous sommes ici sur les hauteurs de perturber	_
le dernier village avant la frontière espagnole et c' est ici même au pied du fort de bellegarde que le brasier a commencé il y a trois jours comme vous pouvez le voir derrière moi	dernier village avant la frontière espagnole et c' est ici même au pied du fort de belgrade que le brasier a commencé il y a trois jours comme vous pouvez le voir derrière moi	_
c' est un secteur très peu habité et les rares maisons isolées ont fort heureusement été sauvées des flammes par l' intervention	est un secteur très peu habitée et les rares maisons isolées fort heureusement été sauvées des flammes par l' intervention	_
des pompiers néanmoins c' est une zone extrêmement dense et donc avec beaucoup de végétation un secteur donc à très haut risque les rares riverains que nous avons pu croiser	des pompiers néanmoins c' est une zone est extrêmement dense et donc avec beaucoup de végétation un secteur donc à très haut risque les rares riverains que nous avons pu croiser	_
oscillaient tout à l' heure entre la la désolation de voir finalement ce paysage complètement ravagé par les flammes mais aussi l' inquiétude de savoir qu' est ce qu' il pourra se passer dans les prochaines heures dans les	tout à l' heure entre la la désolation de voir finalement ce paysage complètement ravagé par les flammes mais aussi l' inquiétude de savoir qu' est ce qu' il pourra se passer dans les prochaines heures dans les	_
prochains jours si effectivement le vent redouble d' intensité	un jour si effectivement le vent redouble d' intensité	_
