,WER,CER,SemDist camemlarge,Substitution,Insertion,Deletion,Equal
SB_7k_epoch_10,15.67,6.4,9.698,10245.0,5768.0,3817.0,112525.0
SB_7k_epoch_11,15.86,6.519,9.756,10239.0,6043.0,3789.0,112559.0
SB_7k_epoch_12,15.82,6.508,9.798,10289.0,5907.0,3829.0,112469.0
SB_7k_epoch_13,15.76,6.448,9.783,10076.0,6119.0,3749.0,112762.0
SB_7k_epoch_14,15.47,6.295,9.527,10011.0,5739.0,3828.0,112748.0
SB_7k_epoch_15,15.34,6.305,9.497,9811.0,5858.0,3754.0,113022.0
SB_7k_epoch_16,15.11,6.193,9.21,9626.0,5693.0,3808.0,113153.0
SB_7k_epoch_17,15.23,6.274,9.306,9613.0,5945.0,3723.0,113251.0
SB_7k_epoch_18,14.98,6.191,9.054,9444.0,5740.0,3785.0,113358.0
SB_7k_epoch_19,14.81,6.116,8.999,9307.0,5533.0,3911.0,113369.0
SB_7k_epoch_1,17.58,6.954,11.444,12573.0,5642.0,4035.0,109979.0
SB_7k_epoch_20,14.95,6.16,9.012,9397.0,5715.0,3815.0,113375.0
SB_7k_epoch_21,14.97,6.167,8.949,9401.0,5708.0,3835.0,113351.0
SB_7k_epoch_22,14.78,6.073,9.015,9319.0,5578.0,3810.0,113458.0
SB_7k_epoch_23,14.83,6.108,9.067,9272.0,5638.0,3863.0,113452.0
SB_7k_epoch_24,14.76,6.088,8.943,9233.0,5599.0,3847.0,113507.0
SB_7k_epoch_25,14.56,6.0,8.891,9184.0,5413.0,3832.0,113571.0
SB_7k_epoch_26,14.46,5.953,8.752,9118.0,5356.0,3836.0,113633.0
SB_7k_epoch_27,14.38,5.932,8.786,9083.0,5277.0,3849.0,113655.0
SB_7k_epoch_28,14.42,5.942,8.746,9053.0,5341.0,3861.0,113673.0
SB_7k_epoch_29,14.44,5.993,8.812,9002.0,5381.0,3898.0,113687.0
SB_7k_epoch_2,17.55,6.993,11.273,12273.0,5968.0,3981.0,110333.0
SB_7k_epoch_30,14.31,5.93,8.63,8993.0,5213.0,3906.0,113688.0
SB_7k_epoch_31,14.48,5.986,8.643,9048.0,5382.0,3897.0,113642.0
SB_7k_epoch_32,14.36,5.934,8.618,8988.0,5284.0,3911.0,113688.0
SB_7k_epoch_33,14.36,5.935,8.722,8998.0,5248.0,3935.0,113654.0
SB_7k_epoch_34,14.27,5.891,8.584,8939.0,5160.0,3963.0,113685.0
SB_7k_epoch_35,14.22,5.873,8.587,8875.0,5154.0,3970.0,113742.0
SB_7k_epoch_36,14.3,5.898,8.57,8944.0,5202.0,3960.0,113683.0
SB_7k_epoch_37,14.26,5.875,8.505,8904.0,5224.0,3917.0,113766.0
SB_7k_epoch_38,14.25,5.88,8.591,8879.0,5208.0,3948.0,113760.0
SB_7k_epoch_39,14.13,5.816,8.47,8854.0,5071.0,3961.0,113772.0
SB_7k_epoch_3,17.08,6.777,10.841,11989.0,5482.0,4155.0,110443.0
SB_7k_epoch_40,14.16,5.827,8.476,8840.0,5102.0,3977.0,113770.0
SB_7k_epoch_41,14.14,5.838,8.447,8804.0,5134.0,3956.0,113827.0
SB_7k_epoch_42,14.07,5.796,8.459,8800.0,5061.0,3944.0,113843.0
SB_7k_epoch_43,14.19,5.866,8.459,8812.0,5203.0,3944.0,113831.0
SB_7k_epoch_44,14.21,5.856,8.434,8850.0,5188.0,3947.0,113790.0
SB_7k_epoch_45,14.15,5.839,8.423,8810.0,5152.0,3954.0,113823.0
SB_7k_epoch_46,14.22,5.877,8.499,8838.0,5225.0,3936.0,113813.0
SB_7k_epoch_47,14.18,5.841,8.502,8851.0,5157.0,3945.0,113791.0
SB_7k_epoch_48,14.23,5.875,8.45,8851.0,5252.0,3905.0,113831.0
SB_7k_epoch_49,14.19,5.865,8.473,8840.0,5200.0,3928.0,113819.0
SB_7k_epoch_4,17.23,6.943,10.762,11962.0,5775.0,4069.0,110556.0
SB_7k_epoch_5,16.79,6.732,10.658,11716.0,5473.0,4067.0,110804.0
SB_7k_epoch_6,16.63,6.718,10.615,11304.0,5703.0,4048.0,111235.0
SB_7k_epoch_7,16.52,6.705,10.462,10981.0,6132.0,3801.0,111805.0
SB_7k_epoch_8,16.11,6.556,10.067,10633.0,5901.0,3858.0,112096.0
SB_7k_epoch_9,15.91,6.493,9.797,10578.0,5682.0,3884.0,112125.0
