,WER,CER,uPOSER,dPOSER,LER,EmbER,SemDist,BERTScore
KD_woR,15.43,8.569,12.224,14.595,14.349,15.198,7.812,8.966
KD_wR,13.21,7.7,10.788,12.506,12.806,13.024,7.095,8.211
SB_bpe1000,15.98,6.996,12.797,14.449,14.846,14.327,6.264,6.548
SB_bpe750,15.33,6.672,12.341,13.97,14.179,13.679,5.909,6.222
SB_s2s,30.94,17.549,24.537,27.985,29.343,27.189,13.486,11.182
SB_w2v_1k,18.94,7.63,14.795,16.863,17.481,16.217,7.894,7.707
SB_w2v_3k,17.16,6.874,13.601,15.42,16.025,15.229,6.968,7.08
SB_w2v_7k,16.56,6.723,13.195,14.872,15.344,14.228,6.48,6.732
SB_w2v,17.63,7.044,13.897,15.728,16.475,15.401,7.114,7.279
SB_xlsr_fr,22.69,9.022,17.609,20.191,20.828,19.49,9.448,9.046
SB_xlsr,21.48,8.589,16.771,19.222,19.829,18.598,9.037,8.641
